msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
++6eU4LsQ3UQ20ILS7d99XK8WbiVgbyYL4FUgzZR134=,32,90,298,298,0,20170131,20170504,0
++lvGPJOinuin/8esghpnqdljm6NXS8m8Zwchc7gOeA=,41,30,149,149,1,20150809,20190412,0
+/GXNtXWQVfKrEDqYAzcSw2xSPYMKWNj22m+5XkVQZc=,36,30,180,180,1,20170303,20170422,0
+/w1UrZwyka4C9oNH3+Q8fUf3fD8R3EwWrx57ODIsqk=,36,30,180,180,1,20170329,20170331,1
+00PGzKTYqtnb65mPKPyeHXcZEwqiEzktpQksaaSC3c=,41,30,99,99,1,20170323,20170423,0
+0KcMm8JNCW08lTp3Lyz5Ger/47u3yj9H2xLf8lyAj8=,41,30,149,149,1,20151112,20180613,0
+0MeUJe1cGb4O97gJoTPUPjiONQzi9BmxDuKRZn+E2o=,41,30,99,99,1,20170313,20170413,0
+0W3Q9FSw8TLgoNke9JFl6dUeoxAOfuHarEexRPcJsA=,41,30,99,99,1,20170318,20170418,0
+0aofSeKQ/F2bhtAGW/zrdrw+lGVV6nmIdt8hJRTR/8=,41,30,99,99,1,20170316,20170416,0
+0c0aay0C6GHocNyfqE+46Ih4dYOy2P5xjc0GjGgBTE=,41,30,149,149,1,20170307,20170407,0
+0vdYjwKTJKP2OuVUWMqqjFKwp83QG4URcLg1vvFxek=,41,30,99,99,1,20170316,20170416,0
+1qe9o7V7yJ6CWz4nO2r/Y3a6lTIRf53Q7eSQyQBUJQ=,40,30,149,149,1,20170311,20170410,0
+1sa2M+60tj9HplZSnzW8BCiYEskEMTfwKrOhHjGb3I=,16,30,149,149,1,20170307,20170406,0
+27xILAVHhFBaiEcyfnRpCVmrYGP1XHNGrWSvXL9+eA=,41,30,99,99,1,20170326,20170426,0
+2HVGotjiE2ofWgVp37vLKGzJgBiUkdKRiBlf/Wji90=,41,30,99,99,1,20170331,20170430,0
+2y0N7JdEAgAO2zjWgPHqNHvGZsfXdfiegF7hZW86K8=,41,30,99,99,1,20170308,20170408,0
+3Z/2l0S7ui1s9FlZgsPYPUm3VOBhZGgW5toALP8VOg=,41,30,149,149,1,20150731,20171202,0
